movieID,genre,tagsWithID,tagsWithName
1,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']","[896, 900, 1925, 10376, 1290, 13, 528, 6675, 15123, 7705, 25, 672, 5289, 6323, 10420, 819, 10422, 55, 4924, 60, 15170, 15045, 326, 2119, 459, 11344, 465, 11477, 605, 14562, 362, 752, 4339, 501, 4342, 2293, 382]","['tumeys vhs', 'witty', 'want', 'rousing', 'almost favorite', 'avi', 'fun', 'warm', 'fanciful', 'pixar', 'family', 'classic', 'disney animated feature', 'erlends dvds', 'animation', 'kids movie', 'daring rescues', 'comedy', 'computer animation', 'tom hanks', '3d', 'toys come to life', 'tumeys to see again', 'pixar animation', 'clever', 'animated', 'heroic mission', 'adventure', 'bright', 'toys', 'tim allen', 'disney', 'light', 'want to see again', 'unlikely friendships', 'time travel', 'buy']"
2,"['Adventure', 'Children', 'Fantasy']","[14371, 742, 488, 2057, 1224, 2732, 13, 10382, 2381, 146, 1843, 117, 9621, 438, 1944, 5045, 413, 10654]","['joe johnston', 'game', 'lebbat', 'jungle', 'monkey', 'kid flick', 'kirsten dunst', 'animals', 'fantasy', 'robin williams', 'board game', 'adapted from:book', 'scary', 'time', 'herds of cgi animals', 'filmed in bc', 'children']"
3,"['Comedy', 'Romance']","[13668, 2724, 3242, 7444, 380, 3196]","['old', 'grun running', 'jack lemmon', 'funniest movies', 'sequel fever', 'walter matthau']"
5,['Comedy'],"[2724, 1646, 752, 4946, 4953, 125]","['watched under duress', 'sequel', 'sequel fever', 'childhood classics', 'wedding']"
6,"['Action', 'Crime', 'Thriller']","[3008, 675, 13128, 2538, 587, 7052, 6988, 528, 6800, 6323, 662, 8891, 1149, 4446]","['in the nucleus', 'long', 'too long', 'need to own', 'tense', 'somber', 'tumeys dvds', 'recommendz top pick', 'bibliothek', 'bleak', 'visceral', 'atmospheric']"
7,"['Comedy', 'Romance']","[8994, 1222, 9479, 2983, 747, 1260, 11630, 9679, 415]","['greg kinnear', 'romance', 'remadeas:sabrina(1995)', 'remake', 'remakeof:sabrina(1954)', 'chick flick', 'upstairsdownstairs', 'harrison ford', 'relationships']"
8,"['Adventure', 'Children']","[1224, 9074]",['author:mark twain']
10,"['Action', 'Adventure', 'Thriller']","[161, 485, 74, 459, 1515, 110, 6800, 657, 977, 5843, 9015, 9816, 634, 125, 1023]","['bond', 'james bond', 'assassin', 'espionage', 'gadgets', 'killer as protagonist', 'action', 'murder', 'violence', 'secret service', 'spies', '007 (series)']"
11,"['Comedy', 'Drama', 'Romance']","[6401, 587, 651, 780, 689, 892, 10494]","['seen more than once', 'aaron sorkin', 'seen', 'politics', 'amazing kung fu', 'girlie movie']"
12,"['Comedy', 'Horror']","[944, 42, 1452, 62]","['mel brooks', 'gothic', 'spoof', 'vampire']"
13,"['Animation', 'Children']",[7751],['dogsled']
14,['Drama'],"[2462, 1188, 8453, 102, 1482, 10422, 5534]","['political drama', 'oliver stone', 'anthony hopkins', 'biopic', 'biographical', 'us president']"
15,"['Action', 'Adventure', 'Romance']","[136, 4617]","['pirates', 'pirate']"
16,"['Crime', 'Drama']","[353, 258, 711, 521, 587, 77, 6800, 595, 6324, 310, 214, 8889, 251, 4446]","['robert deniro', 'nonfiction', 'on dvr', 'martin scorsese', 'divx1', 'cannibalism', 'nudity (rear)', 'masterpiece', 'violent', 'mafia', 'gangster']"
17,"['Comedy', 'Drama', 'Romance']","[643, 292, 1061, 9926, 1224, 1320, 587, 2158, 2260, 5301, 7669, 2364, 605, 13407]","['shakespeare', 'literature', 'author:jane austen', 'alan rickman', 'period', 'kate winslet', 'based on a book', 'svens to see list', 'ang lee', 'emma thompson', 'historical']"
18,"['Comedy', 'Drama', 'Thriller']","[2241, 93, 10422]","['nudity (topless)', 'tarantino']"
19,['Comedy'],"[1427, 364, 14382]","['steve oedekerk', 'jim carrey', 'crazy']"
20,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","[2938, 2261]","['lame', 'afternoon section']"
21,"['Action', 'Comedy', 'Drama']","[678, 9610, 2731, 53, 214, 10746]","['travolta', 'crime', 'foqam', 'hollywood', 'satire:hollywood insiders']"
22,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",[54],['serial killer']
23,"['Action', 'Crime', 'Thriller']","[6324, 2261]",['afternoon section']
24,"['Drama', 'Sci-Fi']","[7809, 386, 1582, 5556, 11448, 4731, 5565]","['post apocalyptic', 'earnest', 'elegiac', 'poignant', 'tearjerking', 'reflective', 'albino']"
25,"['Drama', 'Romance']","[1153, 418, 610, 1159, 8583, 2538, 587, 6635, 4491, 4731, 6669, 1422, 625, 11448, 506, 219, 93]","['loneliness', 'nicolas cage', 'starcrossed lovers', 'understated', 'prostitutes', 'oscar (best actor)', 'intimate', 'addiction', 'depressing', 'alcoholism', 'dark', 'melancholy']"
26,['Drama'],"[1320, 9002, 9298, 93]","['adapted from:play', 'playwright:shakespeare']"
28,"['Drama', 'Romance']","[4818, 730, 11619]","['fiona shaw', 'oppl', 'adaptation']"
29,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","[4740, 1925, 4746, 24, 669, 2082, 2597, 553, 8367, 2614, 1085, 64, 11477, 4446, 352, 7392, 1382, 2538, 4856, 1149]","['mechanized', 'jeunet', 'steampunk', 'surreal', 'santa claus', 'hallucinatory', 'legenda ptbr', 'beautiful', 'on computer', 'netflix instant watching', 'dystopia', 'dreamlike', 'stylized', 'whimsical', 'kidnapping']"
31,['Drama'],"[9762, 1925, 587, 910, 2261]","['high school', 'teacher as protagonist', 'afternoon section']"
32,"['Sci-Fi', 'Thriller']","[386, 2953, 13, 397, 6800, 1304, 24, 1184, 8096, 161, 419, 296, 15912, 6324, 9142, 838, 5704, 1106, 727, 605, 610, 2403, 615, 235, 747, 13419, 366, 2671, 750, 754, 379, 502, 9847, 635, 5757]","['montypythonrelated', 'madeleine stowe', 'vhs', 'scifi', 'postapocalyptic', 'twist ending', 'mindfuck', 'brad pitt', 'scifi dark', 'thriller', 'terry gilliam', 'end of the world', 'future', 'brilliant', 'not seen', 'asylum', 'get', 'mindfuck movie', 'nature of insanity', 'biological warfare', 'great actors', 'sf', 'gilliam', 'bruce willis', 'plot point:biomedical danger', 'genius']"
34,"['Children', 'Comedy', 'Drama', 'Fantasy']","[2955, 9419, 3470, 9327, 369, 1809, 915, 1876, 117, 7158, 6515, 5919]","['talking animals', 'barnyard animals', 'own', 'boring', 'pigs', 'hugo weaving', 'way overrated', 'pig', 'infantil', 'afi 100 (cheers)', 'animal:pig']"
35,"['Drama', 'Romance']","[353, 16073, 11468, 2158, 14510, 11037]","['biopics', 'strong woman', 'artists', 'artist']"
36,"['Crime', 'Drama']","[14562, 2596, 2600, 172, 8142, 1647, 4112, 10173, 4114, 14511, 213, 633, 762, 7804, 4125, 1023]","['death penalty', 'ari', 'abe', 'strong', 'true story', 'deaf', 'ethics', 'prison', 'institutions', 'death row', 'oscar (best actress)', 'death', 'knoll', 'sean penn']"
39,"['Comedy', 'Romance']","[1253, 1222, 1224, 1450, 651, 5264, 1680, 14035, 7669, 730, 4666, 892, 605]","['very funny', 'seen more than once', 'author:jane austen', 'teen', 'fashion', 'want to own', 'updated classics', 'omigawd', 'girlie movie']"
41,"['Drama', 'War']","[1472, 1320, 9002, 9298, 4666, 5151]","['robert downey jr', 'ian mckellen', 'adapted from:play', 'playwright:shakespeare']"
42,"['Action', 'Crime', 'Drama']",[1765],['bank robbery']
43,['Drama'],"[93, 5711]","['nudity (topless)', '17th century']"
44,"['Action', 'Adventure', 'Fantasy']","[655, 2136, 7407]","['video game adaptation', 'movie to see', 'adapted from:game']"
45,"['Comedy', 'Drama', 'Thriller']","[587, 1925, 374]",['dark comedy']
46,"['Drama', 'Romance']",[587],[]
47,"['Crime', 'Horror', 'Mystery', 'Thriller']","[2304, 2, 387, 651, 397, 6800, 10906, 7071, 419, 2341, 7335, 1065, 6323, 10420, 53, 54, 1845, 4534, 566, 694, 699, 66, 67, 582, 15053, 13520, 8917, 473, 2652, 738, 611, 742, 5998, 754, 1915, 1023]","['super interesting', 'creepy', 'powerful ending', 'owned', 'drama', 'evil', 'worst ever', 'psychology', 'in netflix queue', 'ashley judd', 'gruesome', 'investigation', 'mystery', 'police', 'strange', 'disturbing', 'ominous', 'morgan freeman', 'bfi modern classic', 'suitcase of light', 'menacing', 'twists & turns', 'graphic violence', 'gloomy', 'grim']"
48,"['Animation', 'Children', 'Musical', 'Romance']","[2953, 362, 900]","['disney', 'disney animated feature']"
49,"['Drama', 'Romance']","[1654, 375]","['circus', 'lesbian']"
50,"['Crime', 'Mystery', 'Thriller']","[1920, 1925, 7, 2187, 2960, 6800, 12820, 3868, 541, 2603, 5035, 6323, 53, 5175, 583, 10695, 975, 4690, 2389, 727, 351, 608, 15840, 104, 501, 630, 502, 2557, 1535]","['flashbacks', 'unreliable narrators', 'seen at the cinema', 'great ending', 'gabriel byrne', 'oscar (best supporting actor)', 'twist', 'caper movie', 'must see', 'spaceyal', 'heist', 'oscar winner', 'my movies', 'organized crime', 'caper', 'funny', 'conspiracy', 'benicio del toro', 'whodunnit', 'imdb top 250', 'complot', 'dvd']"
