movieID,genre,tagsWithID,tagsWithName
1,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']","[896, 900, 1925, 10376, 1290, 13, 528, 6675, 15123, 7705, 25, 672, 5289, 6323, 10420, 819, 10422, 55, 4924, 60, 15170, 15045, 326, 2119, 459, 11344, 465, 11477, 605, 14562, 362, 752, 4339, 501, 4342, 2293, 382]","['tumeys vhs', 'witty', 'want', 'rousing', 'almost favorite', 'avi', 'fun', 'warm', 'fanciful', 'pixar', 'family', 'classic', 'disney animated feature', 'erlends dvds', 'animation', 'kids movie', 'daring rescues', 'comedy', 'computer animation', 'tom hanks', '3d', 'toys come to life', 'tumeys to see again', 'pixar animation', 'clever', 'animated', 'heroic mission', 'adventure', 'bright', 'toys', 'tim allen', 'disney', 'light', 'want to see again', 'unlikely friendships', 'time travel', 'buy']"
2,"['Adventure', 'Children', 'Fantasy']","[14371, 742, 488, 2057, 1224, 2732, 13, 10382, 2381, 146, 1843, 117, 9621, 438, 1944, 5045, 413, 10654]","['joe johnston', 'game', 'lebbat', 'jungle', 'monkey', 'kid flick', 'kirsten dunst', 'time travel', 'animals', 'fantasy', 'robin williams', 'board game', 'adapted from:book', 'scary', 'time', 'herds of cgi animals', 'filmed in bc', 'children']"
3,"['Comedy', 'Romance']","[13668, 2724, 3242, 7444, 380, 3196]","['old', 'grun running', 'jack lemmon', 'funniest movies', 'sequel fever', 'walter matthau']"
4,"['Comedy', 'Drama', 'Romance']",[],[]
5,['Comedy'],"[2724, 1646, 752, 4946, 4953, 125]","['watched under duress', 'sequel', 'sequel fever', 'childhood classics', 'wedding', 'family']"
6,"['Action', 'Crime', 'Thriller']","[3008, 675, 13128, 2538, 587, 7052, 6988, 528, 6800, 6323, 662, 8891, 1149, 4446]","['in the nucleus', 'long', 'too long', 'witty', 'need to own', 'want', 'tense', 'somber', 'tumeys dvds', 'recommendz top pick', 'bibliothek', 'bleak', 'visceral', 'atmospheric']"
7,"['Comedy', 'Romance']","[8994, 1222, 9479, 2983, 747, 1260, 11630, 9679, 415]","['greg kinnear', 'romance', 'remadeas:sabrina(1995)', 'remake', 'remakeof:sabrina(1954)', 'chick flick', 'upstairsdownstairs', 'harrison ford', 'relationships']"
8,"['Adventure', 'Children']","[1224, 9074]","['adapted from:book', 'author:mark twain']"
9,['Action'],[],[]
10,"['Action', 'Adventure', 'Thriller']","[161, 485, 74, 459, 1515, 110, 6800, 657, 977, 5843, 9015, 9816, 634, 125, 1023]","['bond', 'james bond', 'sequel', 'assassin', 'adventure', 'espionage', 'gadgets', 'killer as protagonist', 'action', 'tumeys dvds', 'murder', 'violence', 'secret service', 'spies', '007 (series)']"
