movieID,genre,tagsWithID,tagsWithName
1,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']","[896, 900, 1925, 10376, 1290, 13, 528, 6675, 15123, 7705, 25, 672, 5289, 6323, 10420, 819, 10422, 55, 4924, 60, 15170, 15045, 326, 2119, 459, 11344, 465, 11477, 605, 14562, 362, 752, 4339, 501, 4342, 2293, 382]","['dinner', 'animation', 'want to see again', 'disney animated feature']"
5,['Comedy'],"[2724, 1646, 752, 4946, 4953, 125]",['sequel']
10,"['Action', 'Adventure', 'Thriller']","[161, 485, 74, 459, 1515, 110, 6800, 657, 977, 5843, 9015, 9816, 634, 125, 1023]","['murder', 'james bond', 'bond', 'assassin', '007 (series)', 'killer as protagonist']"
11,"['Comedy', 'Drama', 'Romance']","[6401, 587, 651, 780, 689, 892, 10494]","['seen', 'seen more than once']"
12,"['Comedy', 'Horror']","[944, 42, 1452, 62]","['gothic', 'vampire', 'mel brooks']"
16,"['Crime', 'Drama']","[353, 258, 711, 521, 587, 77, 6800, 595, 6324, 310, 214, 8889, 251, 4446]",['nudity (rear)']
17,"['Comedy', 'Drama', 'Romance']","[643, 292, 1061, 9926, 1224, 1320, 587, 2158, 2260, 5301, 7669, 2364, 605, 13407]","['svens to see list', 'based on a book']"
18,"['Comedy', 'Drama', 'Thriller']","[2241, 93, 10422]",['nudity (topless)']
20,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","[2938, 2261]",['afternoon section']
22,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",[54],['serial killer']
23,"['Action', 'Crime', 'Thriller']","[6324, 2261]",['afternoon section']
25,"['Drama', 'Romance']","[1153, 418, 610, 1159, 8583, 2538, 587, 6635, 4491, 4731, 6669, 1422, 625, 11448, 506, 219, 93]",['oscar (best actor)']
26,['Drama'],"[1320, 9002, 9298, 93]","['adapted from:play', 'playwright:shakespeare']"
28,"['Drama', 'Romance']","[4818, 730, 11619]",['opal']
31,['Drama'],"[9762, 1925, 587, 910, 2261]","['afternoon section', 'high school']"
36,"['Crime', 'Drama']","[14562, 2596, 2600, 172, 8142, 1647, 4112, 10173, 4114, 14511, 213, 633, 762, 7804, 4125, 1023]",['oscar (best actress)']
39,"['Comedy', 'Romance']","[1253, 1222, 1224, 1450, 651, 5264, 1680, 14035, 7669, 730, 4666, 892, 605]",['seen more than once']
41,"['Drama', 'War']","[1472, 1320, 9002, 9298, 4666, 5151]","['adapted from:play', 'playwright:shakespeare', 'robert downey jr']"
43,['Drama'],"[93, 5711]",['nudity (topless)']
44,"['Action', 'Adventure', 'Fantasy']","[655, 2136, 7407]","['adapted from:game', 'video game adaptation']"
45,"['Comedy', 'Drama', 'Thriller']","[587, 1925, 374]",['dark comedy']
48,"['Animation', 'Children', 'Musical', 'Romance']","[2953, 362, 900]","['dinner', 'disney animated feature']"
49,"['Drama', 'Romance']","[1654, 375]",['lesbian']
50,"['Crime', 'Mystery', 'Thriller']","[1920, 1925, 7, 2187, 2960, 6800, 12820, 3868, 541, 2603, 5035, 6323, 53, 5175, 583, 10695, 975, 4690, 2389, 727, 351, 608, 15840, 104, 501, 630, 502, 2557, 1535]",['oscar (best supporting actor)']
52,"['Comedy', 'Drama', 'Romance']","[244, 61, 1925]",['oscar (best supporting actress)']
57,['Drama'],[1472],['robert downey jr']
58,"['Comedy', 'Drama', 'Romance']","[354, 498, 6717]",['corvallis library']
62,['Drama'],"[10176, 9762, 195, 328, 651, 910, 152]",['high school']
67,['Drama'],[6708],['hw drama']
71,['Action'],[93],['nudity (topless)']
78,['Drama'],[93],['nudity (topless)']
79,"['Drama', 'Thriller']",[93],['nudity (topless)']
82,"['Comedy', 'Drama']","[1136, 6341, 14510]",['nudity (full frontal)']
94,"['Comedy', 'Drama', 'Romance']",[2399],['uma thurman']
97,['Drama'],"[69, 263, 8935, 1065, 10859, 6800, 11505, 1937, 5809, 1140, 4692, 10390, 11061, 1176, 1149, 7071]",['drugs']
98,"['Action', 'Thriller']","[5264, 765]",['jude law']
110,"['Action', 'Drama', 'War']","[4098, 6, 6534, 904, 137, 521, 6800, 12819, 5524, 10391, 1435, 5153, 4521, 2094, 6323, 5556, 16309, 8502, 696, 4408, 8891, 15035, 582, 583, 12102, 74, 458, 14929, 4690, 2260, 473, 1625, 605, 93, 13407, 8928, 866, 4707, 870, 2670, 238, 6515, 501, 247, 761, 4731]","['sweeping', 'oscar (best picture)', 'lavish', 'war', 'oscar (best cinematography)', 'afi 100 (thrills)', 'oscar (best directing)']"
111,"['Crime', 'Drama', 'Thriller']","[13186, 644, 7428, 6534, 8583, 6800, 10906, 7455, 1065, 10420, 310, 8887, 7738, 8891, 15165, 1216, 706, 583, 587, 8912, 8917, 605, 6749, 5857, 225, 15073, 4707, 741, 2538, 4083, 9334, 10871, 6518, 1277, 638]","['afi 100 (movie quotes)', 'bfi classic', 'afi 100 (thrills)', 'afi 100']"
112,"['Action', 'Adventure', 'Comedy', 'Crime']","[4994, 15780, 5156, 6220, 686]","['kung fu', 'martial arts']"
114,['Drama'],[398],['less than 300 ratings']
125,['Comedy'],"[1057, 501]",['want to see again']
132,['Thriller'],"[595, 603, 1751]",['san francisco']
140,"['Drama', 'Romance']","[587, 2261, 1822]",['afternoon section']
