movieID,genre,tagsWithID,tagsWithName
1,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']","[896, 900, 1925, 10376, 1290, 13, 528, 6675, 15123, 7705, 25, 672, 5289, 6323, 10420, 819, 10422, 55, 4924, 60, 15170, 15045, 326, 2119, 459, 11344, 465, 11477, 605, 14562, 362, 752, 4339, 501, 4342, 2293, 382]","['dinner', 'animation', 'want to see again', 'disney animated feature']"
2,"['Adventure', 'Children', 'Fantasy']","[14371, 742, 488, 2057, 1224, 2732, 13, 10382, 2381, 146, 1843, 117, 9621, 438, 1944, 5045, 413, 10654]",[]
3,"['Comedy', 'Romance']","[13668, 2724, 3242, 7444, 380, 3196]",[]
5,['Comedy'],"[2724, 1646, 752, 4946, 4953, 125]",['sequel']
6,"['Action', 'Crime', 'Thriller']","[3008, 675, 13128, 2538, 587, 7052, 6988, 528, 6800, 6323, 662, 8891, 1149, 4446]",[]
7,"['Comedy', 'Romance']","[8994, 1222, 9479, 2983, 747, 1260, 11630, 9679, 415]",[]
8,"['Adventure', 'Children']","[1224, 9074]",[]
10,"['Action', 'Adventure', 'Thriller']","[161, 485, 74, 459, 1515, 110, 6800, 657, 977, 5843, 9015, 9816, 634, 125, 1023]","['murder', 'james bond', 'bond', 'assassin', '007 (series)', 'killer as protagonist']"
11,"['Comedy', 'Drama', 'Romance']","[6401, 587, 651, 780, 689, 892, 10494]","['seen', 'seen more than once']"
12,"['Comedy', 'Horror']","[944, 42, 1452, 62]","['gothic', 'vampire', 'mel brooks']"
13,"['Animation', 'Children']",[7751],[]
14,['Drama'],"[2462, 1188, 8453, 102, 1482, 10422, 5534]",[]
15,"['Action', 'Adventure', 'Romance']","[136, 4617]",[]
16,"['Crime', 'Drama']","[353, 258, 711, 521, 587, 77, 6800, 595, 6324, 310, 214, 8889, 251, 4446]",['nudity (rear)']
17,"['Comedy', 'Drama', 'Romance']","[643, 292, 1061, 9926, 1224, 1320, 587, 2158, 2260, 5301, 7669, 2364, 605, 13407]","['svens to see list', 'based on a book']"
18,"['Comedy', 'Drama', 'Thriller']","[2241, 93, 10422]",['nudity (topless)']
19,['Comedy'],"[1427, 364, 14382]",[]
20,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","[2938, 2261]",['afternoon section']
21,"['Action', 'Comedy', 'Drama']","[678, 9610, 2731, 53, 214, 10746]",[]
22,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",[54],['serial killer']
23,"['Action', 'Crime', 'Thriller']","[6324, 2261]",['afternoon section']
24,"['Drama', 'Sci-Fi']","[7809, 386, 1582, 5556, 11448, 4731, 5565]",[]
25,"['Drama', 'Romance']","[1153, 418, 610, 1159, 8583, 2538, 587, 6635, 4491, 4731, 6669, 1422, 625, 11448, 506, 219, 93]",['oscar (best actor)']
26,['Drama'],"[1320, 9002, 9298, 93]","['adapted from:play', 'playwright:shakespeare']"
28,"['Drama', 'Romance']","[4818, 730, 11619]",['opal']
29,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","[4740, 1925, 4746, 24, 669, 2082, 2597, 553, 8367, 2614, 1085, 64, 11477, 4446, 352, 7392, 1382, 2538, 4856, 1149]",[]
31,['Drama'],"[9762, 1925, 587, 910, 2261]","['afternoon section', 'high school']"
